TIC: 20250718_Nap-0_05.D\data.ms
Nap-0.05

Peak #	Ret Time	Type	Width	Area	Start Time	End Time	
1	1.472	BV  	0.151	   2625260439	1.024	1.844	
2	1.872	VB  	0.026	     50385465	1.844	2.347	
3	3.047	BV  	0.152	   2573944038	2.697	3.419	
4	3.449	VB  	0.021	     73733484	3.419	3.976	
5	4.624	BV  	0.042	   2556336442	4.457	4.993	
6	5.025	VB  	0.058	     35439558	4.993	5.376	
7	6.015	BV  	0.080	     49118653	5.671	6.119	
8	6.201	VV  	0.044	   2561799563	6.119	6.578	
9	6.601	VB  	0.055	     57065442	6.578	7.070	
10	7.584	BB  	0.143	     68823500	7.409	7.923	
11	9.161	BB  	0.149	     74754286	9.060	9.716	
12	10.734	BB  	0.149	     79934237	10.624	11.313	
TIC: 20250718_Nap-0_1.D\data.ms
Nap-0.1

Peak #	Ret Time	Type	Width	Area	Start Time	End Time	
1	1.473	BV  	0.124	   2515820418	1.166	1.833	
2	1.873	VB  	0.020	     49342292	1.833	2.161	
3	3.047	BV  	0.152	   2549614411	2.927	3.419	
4	3.449	VB  	0.019	     86663716	3.419	3.889	
5	4.624	BV  	0.044	   2539936762	4.501	5.004	
6	5.025	VB  	0.066	     92493973	5.004	5.463	
7	5.999	BV  	0.072	    138925070	5.900	6.119	
8	6.201	VV  	0.044	   2526383366	6.119	6.578	
9	6.601	VB  	0.056	     64534176	6.578	7.158	
10	7.577	BV  	0.138	    139240546	7.475	7.923	
11	9.155	BB  	0.149	    142390951	8.995	9.858	
12	10.725	BB  	0.140	    163749913	10.624	11.411	
13	25.574	BBA 	0.299	     27931180	24.006	25.936	
