"","point","time","KS01-1","KS01-2","KS07-1","KS07-2","KS08-1","KS08-2","time_lbl"
"1",0,"14:45:37",0.008,-0.006,-0.001,0.008,0.005,0.001,"Day 0
00:00"
"2",1,"15:15:31",0.011,-0.001,0.001,0.012,0.01,0.003,"Day 0
00:29"
"3",2,"15:45:32",0.008,-0.003,0.001,0.009,0.009,0.002,"Day 0
00:59"
"4",3,"16:15:32",0.009,-0.004,-0.001,0.009,0.018,0.002,"Day 0
01:29"
"5",4,"16:45:32",0.004,-0.006,-0.003,0.009,0.008,0.002,"Day 0
01:59"
"6",5,"17:15:32",0.005,-0.009,-0.003,0.009,0.008,0.011,"Day 0
02:29"
"7",6,"17:45:33",0.008,-0.006,-0.003,0.009,0.008,0.003,"Day 0
02:59"
"8",7,"18:15:33",0.006,-0.008,-0.003,0.01,0.019,0.005,"Day 0
03:29"
"9",8,"18:45:33",0.004,-0.008,-0.004,0.01,0.012,0.004,"Day 0
03:59"
"10",9,"19:15:33",0.005,-0.008,-0.003,0.01,0.018,0.006,"Day 0
04:29"
"11",10,"19:45:33",0.002,-0.008,-0.002,0.013,0.02,0.01,"Day 0
04:59"
"12",11,"20:15:33",0.004,-0.009,-0.002,0.012,0.017,0.017,"Day 0
05:29"
"13",12,"20:45:28",0.002,-0.009,-0.001,0.015,0.023,0.019,"Day 0
05:59"
"14",13,"21:15:28",0.002,-0.008,0.002,0.017,0.024,0.025,"Day 0
06:29"
"15",14,"21:45:28",0.003,-0.008,0.004,0.018,0.03,0.031,"Day 0
06:59"
"16",15,"22:15:28",0.005,-0.008,0.005,0.024,0.039,0.038,"Day 0
07:29"
"17",16,"22:45:28",0.008,-0.006,0.009,0.028,0.045,0.046,"Day 0
07:59"
"18",17,"23:15:28",0.004,-0.005,0.011,0.035,0.055,0.059,"Day 0
08:29"
"19",18,"23:45:28",0.01,-0.004,0.017,0.041,0.064,0.073,"Day 0
08:59"
"20",19,"00:15:29",0.011,-0.004,0.024,0.048,0.076,0.085,"Day 0
09:29"
"21",20,"00:45:29",0.013,-0.001,0.03,0.057,0.091,0.102,"Day 0
09:59"
"22",21,"01:15:29",0.018,0,0.039,0.069,0.109,0.118,"Day 0
10:29"
"23",22,"01:45:29",0.02,0.003,0.049,0.083,0.124,0.139,"Day 0
10:59"
"24",23,"02:15:29",0.024,0.006,0.061,0.097,0.144,0.16,"Day 0
11:29"
"25",24,"02:45:29",0.031,0.011,0.074,0.117,0.165,0.185,"Day 0
11:59"
"26",25,"03:15:24",0.037,0.016,0.088,0.133,0.186,0.207,"Day 0
12:29"
"27",26,"03:45:24",0.045,0.023,0.106,0.155,0.212,0.241,"Day 0
12:59"
"28",27,"04:15:25",0.054,0.028,0.128,0.172,0.241,0.267,"Day 0
13:29"
"29",28,"04:45:25",0.066,0.039,0.146,0.2,0.264,0.302,"Day 0
13:59"
"30",29,"05:15:26",0.076,0.048,0.166,0.223,0.299,0.335,"Day 0
14:29"
"31",30,"05:45:26",0.092,0.06,0.194,0.25,0.329,0.368,"Day 0
14:59"
"32",31,"06:15:26",0.107,0.071,0.221,0.28,0.365,0.409,"Day 0
15:29"
"33",32,"06:45:26",0.126,0.086,0.249,0.31,0.405,0.444,"Day 0
15:59"
"34",33,"07:15:26",0.143,0.105,0.28,0.345,0.441,0.478,"Day 0
16:29"
"35",34,"07:45:26",0.164,0.122,0.314,0.381,0.48,0.518,"Day 0
16:59"
"36",35,"08:15:27",0.189,0.142,0.351,0.417,0.52,0.553,"Day 0
17:29"
"37",36,"08:45:20",0.211,0.163,0.387,0.458,0.562,0.589,"Day 0
17:59"
"38",37,"09:15:28",0.242,0.191,0.431,0.499,0.598,0.623,"Day 0
18:29"
"39",38,"09:45:28",0.271,0.218,0.471,0.545,0.64,0.649,"Day 0
18:59"
"40",39,"10:15:21",0.302,0.247,0.512,0.582,0.671,0.67,"Day 0
19:29"
"41",40,"10:45:21",0.332,0.274,0.553,0.618,0.7,0.699,"Day 0
19:59"
"42",41,"11:15:21",0.366,0.308,0.593,0.652,0.725,0.713,"Day 0
20:29"
"43",42,"11:45:22",0.405,0.344,0.634,0.686,0.751,0.736,"Day 0
20:59"
"44",43,"12:15:22",0.442,0.379,0.669,0.71,0.775,0.756,"Day 0
21:29"
"45",44,"12:45:22",0.478,0.418,0.701,0.734,0.799,0.77,"Day 0
21:59"
"46",45,"13:15:22",0.52,0.458,0.725,0.761,0.821,0.785,"Day 0
22:29"
"47",46,"13:45:22",0.563,0.496,0.752,0.781,0.844,0.803,"Day 0
22:59"
"48",47,"14:15:22",0.601,0.536,0.779,0.804,0.863,0.817,"Day 0
23:29"
"49",48,"14:45:23",0.638,0.574,0.803,0.823,0.883,0.834,"Day 0
23:59"
"50",49,"15:15:16",0.674,0.608,0.825,0.848,0.906,0.85,"Day 1
00:29"
"51",50,"15:45:16",0.705,0.641,0.851,0.868,0.93,0.869,"Day 1
00:59"
"52",51,"16:15:17",0.73,0.665,0.875,0.887,0.947,0.874,"Day 1
01:29"
"53",52,"16:45:17",0.759,0.688,0.894,0.909,0.961,0.884,"Day 1
01:59"
"54",53,"17:15:18",0.782,0.71,0.914,0.924,0.986,0.892,"Day 1
02:29"
"55",54,"17:45:18",0.807,0.731,0.939,0.941,1.003,0.906,"Day 1
02:59"
"56",55,"18:15:19",0.832,0.75,0.96,0.96,1.015,0.917,"Day 1
03:29"
"57",56,"18:45:19",0.846,0.773,0.977,0.976,1.036,0.925,"Day 1
03:59"
"58",57,"19:15:19",0.876,0.793,0.999,0.993,1.049,0.926,"Day 1
04:29"
