"","point","time","KS01-1","KS01-2","KS03-1","KS03-2","KS05-1","KS05-2","time_lbl"
"1",0,"17:49:55",0.008,0.01,0.013,0.01,0.015,0.011,"Day 0
00:00"
"2",1,"18:19:55",0.01,0.011,0.018,0.013,0.018,0.016,"Day 0
00:30"
"3",2,"18:49:57",0.009,0.012,0.025,0.018,0.026,0.024,"Day 0
01:00"
"4",3,"19:19:53",0.01,0.013,0.038,0.027,0.039,0.034,"Day 0
01:29"
"5",4,"19:49:54",0.011,0.016,0.053,0.04,0.057,0.052,"Day 0
01:59"
"6",5,"20:19:55",0.012,0.018,0.08,0.06,0.084,0.075,"Day 0
02:30"
"7",6,"20:49:53",0.017,0.024,0.11,0.084,0.118,0.104,"Day 0
02:59"
"8",7,"21:19:50",0.019,0.028,0.15,0.115,0.161,0.142,"Day 0
03:29"
"9",8,"21:49:51",0.024,0.035,0.206,0.156,0.226,0.195,"Day 0
03:59"
"10",9,"22:19:54",0.028,0.045,0.288,0.216,0.308,0.265,"Day 0
04:29"
"11",10,"22:49:50",0.034,0.053,0.38,0.293,0.41,0.35,"Day 0
04:59"
"12",11,"23:19:52",0.042,0.067,0.495,0.386,0.536,0.453,"Day 0
05:29"
"13",12,"23:49:53",0.049,0.078,0.62,0.497,0.656,0.555,"Day 0
05:59"
"14",13,"00:19:54",0.059,0.095,0.723,0.605,0.746,0.642,"Day 0
06:29"
"15",14,"00:49:49",0.073,0.115,0.753,0.695,0.779,0.671,"Day 0
06:59"
"16",15,"01:19:53",0.089,0.136,0.783,0.715,0.808,0.694,"Day 0
07:29"
"17",16,"01:49:48",0.107,0.165,0.808,0.744,0.834,0.717,"Day 0
07:59"
"18",17,"02:19:50",0.128,0.195,0.831,0.766,0.856,0.744,"Day 0
08:29"
"19",18,"02:49:47",0.158,0.23,0.851,0.793,0.879,0.761,"Day 0
08:59"
"20",19,"03:19:53",0.186,0.269,0.87,0.812,0.901,0.785,"Day 0
09:29"
"21",20,"03:49:51",0.22,0.311,0.891,0.833,0.924,0.802,"Day 0
09:59"
"22",21,"04:19:46",0.26,0.357,0.912,0.851,0.946,0.825,"Day 0
10:29"
"23",22,"04:49:47",0.3,0.405,0.934,0.872,0.969,0.843,"Day 0
10:59"
"24",23,"05:19:48",0.35,0.459,0.96,0.889,0.996,0.867,"Day 0
11:29"
"25",24,"05:49:48",0.402,0.514,0.979,0.908,1.017,0.883,"Day 0
11:59"
"26",25,"06:19:47",0.456,0.578,1.004,0.938,1.04,0.91,"Day 0
12:29"
"27",26,"06:49:44",0.525,0.641,1.03,0.96,1.068,0.937,"Day 0
12:59"
"28",27,"07:19:49",0.586,0.703,1.056,0.983,1.095,0.956,"Day 0
13:29"
"29",28,"07:49:44",0.661,0.766,1.077,1.007,1.116,0.976,"Day 0
13:59"
"30",29,"08:19:48",0.731,0.826,1.101,1.029,1.141,1,"Day 0
14:29"
"31",30,"08:49:48",0.801,0.882,1.116,1.052,1.158,1.018,"Day 0
14:59"
"32",31,"09:19:48",0.884,0.945,1.134,1.069,1.174,1.033,"Day 0
15:29"
"33",32,"09:49:43",0.976,1.017,1.148,1.087,1.188,1.057,"Day 0
15:59"
"34",33,"10:19:47",1.069,1.099,1.158,1.101,1.199,1.064,"Day 0
16:29"
"35",34,"10:49:47",1.188,1.197,1.171,1.116,1.21,1.076,"Day 0
16:59"
"36",35,"11:19:47",1.331,1.327,1.18,1.131,1.223,1.085,"Day 0
17:29"
"37",36,"11:49:42",1.433,1.448,1.189,1.144,1.233,1.094,"Day 0
17:59"
"38",37,"12:19:43",1.5,1.522,1.194,1.153,1.24,1.106,"Day 0
18:29"
"39",38,"12:49:44",1.567,1.571,1.201,1.161,1.246,1.115,"Day 0
18:59"
"40",39,"13:19:43",1.616,1.629,1.211,1.17,1.254,1.121,"Day 0
19:29"
"41",40,"13:49:43",1.643,1.662,1.218,1.177,1.262,1.127,"Day 0
19:59"
"42",41,"14:19:38",1.696,1.69,1.223,1.185,1.272,1.138,"Day 0
20:29"
"43",42,"14:49:41",1.738,1.703,1.228,1.184,1.276,1.137,"Day 0
20:59"
"44",43,"15:19:43",1.79,1.713,1.233,1.195,1.277,1.144,"Day 0
21:29"
"45",44,"15:49:38",1.858,1.723,1.238,1.197,1.284,1.145,"Day 0
21:59"
"46",45,"16:19:42",1.896,1.733,1.24,1.2,1.293,1.15,"Day 0
22:29"
"47",46,"16:49:38",1.958,1.742,1.244,1.206,1.291,1.151,"Day 0
22:59"
"48",47,"17:19:39",1.986,1.747,1.243,1.208,1.29,1.157,"Day 0
23:29"
"49",48,"17:49:41",2.003,1.745,1.243,1.215,1.284,1.156,"Day 0
23:59"
"50",49,"18:19:41",2.064,1.742,1.236,1.211,1.277,1.157,"Day 1
00:29"
"51",50,"18:49:37",2.059,1.745,1.229,1.213,1.259,1.153,"Day 1
00:59"
"52",51,"19:19:38",2.083,1.74,1.218,1.206,1.243,1.15,"Day 1
01:29"
"53",52,"19:49:40",2.112,1.731,1.201,1.194,1.224,1.144,"Day 1
01:59"
"54",53,"20:19:42",2.143,1.731,1.184,1.192,1.209,1.131,"Day 1
02:29"
"55",54,"20:49:37",2.156,1.718,1.172,1.179,1.196,1.128,"Day 1
02:59"
