"","point","time","KS08-1","KS08-2","KS09-1","KS09-2","KS10-1","KS10-2","elapsed_h","time_lbl"
"1",0,"17:20:52",0.005,0.004,0.005,0.005,0.006,0.009,0,"Day 0
00:00"
"2",1,"17:50:54",0.009,0.004,0.008,0.006,0.011,0.012,0.500555555555556,"Day 0
00:30"
"3",2,"18:20:53",0.012,0.006,0.009,0.01,0.017,0.019,1.00027777777778,"Day 0
01:00"
"4",3,"18:50:55",0.015,0.006,0.01,0.011,0.024,0.026,1.50083333333333,"Day 0
01:30"
"5",4,"19:20:51",0.017,0.008,0.012,0.012,0.033,0.037,1.99972222222222,"Day 0
01:59"
"6",5,"19:50:53",0.022,0.008,0.015,0.017,0.048,0.052,2.50027777777778,"Day 0
02:30"
"7",6,"20:20:48",0.03,0.01,0.017,0.019,0.069,0.075,2.99888888888889,"Day 0
02:59"
"8",7,"20:50:52",0.037,0.012,0.022,0.022,0.102,0.11,3.5,"Day 0
03:30"
"9",8,"21:20:48",0.046,0.016,0.023,0.026,0.15,0.163,3.99888888888889,"Day 0
03:59"
"10",9,"21:50:50",0.057,0.022,0.026,0.028,0.218,0.235,4.49944444444444,"Day 0
04:29"
"11",10,"22:20:46",0.074,0.027,0.031,0.033,0.304,0.33,4.99833333333333,"Day 0
04:59"
"12",11,"22:50:48",0.089,0.033,0.034,0.038,0.419,0.451,5.49888888888889,"Day 0
05:29"
"13",12,"23:20:50",0.111,0.042,0.04,0.042,0.575,0.613,5.99944444444444,"Day 0
05:59"
"14",13,"23:50:51",0.134,0.052,0.046,0.047,0.716,0.767,6.49972222222222,"Day 0
06:29"
"15",14,"00:20:45",0.164,0.063,0.051,0.054,0.895,0.956,6.99805555555556,"Day 0
06:59"
"16",15,"00:50:49",0.197,0.08,0.059,0.062,1.072,1.138,7.49916666666667,"Day 0
07:29"
"17",16,"01:20:46",0.235,0.098,0.067,0.068,1.259,1.306,7.99833333333333,"Day 0
07:59"
"18",17,"01:50:48",0.273,0.12,0.074,0.077,1.339,1.385,8.49888888888889,"Day 0
08:29"
"19",18,"02:20:48",0.314,0.144,0.084,0.086,1.398,1.443,8.99888888888889,"Day 0
08:59"
"20",19,"02:50:47",0.364,0.175,0.095,0.097,1.449,1.499,9.49861111111111,"Day 0
09:29"
"21",20,"03:20:44",0.415,0.204,0.106,0.109,1.498,1.549,9.99777777777778,"Day 0
09:59"
"22",21,"03:50:49",0.461,0.241,0.115,0.119,1.545,1.599,10.4991666666667,"Day 0
10:29"
"23",22,"04:20:44",0.518,0.279,0.125,0.131,1.594,1.647,10.9977777777778,"Day 0
10:59"
"24",23,"04:50:46",0.57,0.321,0.14,0.143,1.645,1.682,11.4983333333333,"Day 0
11:29"
"25",24,"05:20:46",0.627,0.365,0.154,0.158,1.627,1.676,11.9983333333333,"Day 0
11:59"
"26",25,"05:50:46",0.687,0.42,0.173,0.172,1.62,1.672,12.4983333333333,"Day 0
12:29"
"27",26,"06:20:45",0.738,0.465,0.191,0.186,1.622,1.673,12.9980555555556,"Day 0
12:59"
"28",27,"06:50:44",0.792,0.517,0.205,0.206,1.622,1.678,13.4977777777778,"Day 0
13:29"
"29",28,"07:20:42",0.826,0.572,0.224,0.221,1.625,1.681,13.9972222222222,"Day 0
13:59"
"30",29,"07:50:44",0.872,0.634,0.249,0.248,1.63,1.679,14.4977777777778,"Day 0
14:29"
"31",30,"08:20:46",0.913,0.692,0.274,0.273,1.637,1.693,14.9983333333333,"Day 0
14:59"
"32",31,"08:50:46",0.96,0.743,0.306,0.295,1.639,1.697,15.4983333333333,"Day 0
15:29"
"33",32,"09:20:41",0.993,0.796,0.35,0.331,1.644,1.698,15.9969444444444,"Day 0
15:59"
"34",33,"09:50:43",1.046,0.852,0.396,0.378,1.639,1.703,16.4975,"Day 0
16:29"
"35",34,"10:20:45",1.091,0.906,0.456,0.429,1.643,1.701,16.9980555555556,"Day 0
16:59"
"36",35,"10:50:45",1.153,0.971,0.529,0.495,1.642,1.691,17.4980555555556,"Day 0
17:29"
"37",36,"11:20:40",1.218,1.044,0.615,0.577,1.636,1.679,17.9966666666667,"Day 0
17:59"
"38",37,"11:50:42",1.279,1.128,0.701,0.686,1.633,1.683,18.4972222222222,"Day 0
18:29"
"39",38,"12:20:42",1.355,1.231,0.71,0.71,1.628,1.675,18.9972222222222,"Day 0
18:59"
"40",39,"12:50:42",1.437,1.315,0.718,0.716,1.622,1.674,19.4972222222222,"Day 0
19:29"
"41",40,"13:20:42",1.502,1.389,0.723,0.717,1.623,1.668,19.9972222222222,"Day 0
19:59"
"42",41,"13:50:41",1.578,1.437,0.717,0.713,1.62,1.671,20.4969444444444,"Day 0
20:29"
"43",42,"14:20:38",1.618,1.479,0.725,0.716,1.622,1.666,20.9961111111111,"Day 0
20:59"
"44",43,"14:50:39",1.646,1.514,0.737,0.725,1.616,1.667,21.4963888888889,"Day 0
21:29"
"45",44,"15:20:41",1.676,1.536,0.747,0.736,1.611,1.661,21.9969444444444,"Day 0
21:59"
"46",45,"15:50:44",1.695,1.555,0.76,0.744,1.614,1.662,22.4977777777778,"Day 0
22:29"
"47",46,"16:20:40",1.71,1.555,0.765,0.751,1.611,1.667,22.9966666666667,"Day 0
22:59"
"48",47,"16:50:43",1.696,1.574,0.778,0.759,1.614,1.665,23.4975,"Day 0
23:29"
"49",48,"17:20:38",1.709,1.584,0.797,0.773,1.598,1.654,23.9961111111111,"Day 0
23:59"
"50",49,"17:50:39",1.703,1.588,0.803,0.783,1.602,1.66,24.4963888888889,"Day 1
00:29"
"51",50,"18:20:40",1.703,1.585,0.817,0.799,1.602,1.662,24.9966666666667,"Day 1
00:59"
"52",51,"18:50:42",1.689,1.582,0.837,0.816,1.602,1.658,25.4972222222222,"Day 1
01:29"
"53",52,"19:20:37",1.694,1.58,0.853,0.83,1.603,1.661,25.9958333333333,"Day 1
01:59"
"54",53,"19:50:38",1.684,1.579,0.873,0.845,1.599,1.659,26.4961111111111,"Day 1
02:29"
"55",54,"20:20:40",1.676,1.588,0.889,0.862,1.593,1.659,26.9966666666667,"Day 1
02:59"
"56",55,"20:50:35",1.667,1.58,0.906,0.881,1.598,1.664,27.4952777777778,"Day 1
03:29"
"57",56,"21:20:36",1.66,1.579,0.924,0.898,1.598,1.659,27.9955555555556,"Day 1
03:59"
"58",57,"21:50:36",1.642,1.572,0.941,0.92,1.591,1.66,28.4955555555556,"Day 1
04:29"
"59",58,"22:20:38",1.637,1.564,0.964,0.938,1.589,1.658,28.9961111111111,"Day 1
04:59"
"60",59,"22:50:40",1.62,1.56,0.985,0.959,1.587,1.661,29.4966666666667,"Day 1
05:29"
"61",60,"23:20:34",1.599,1.553,1.001,0.978,1.588,1.654,29.995,"Day 1
05:59"
"62",61,"23:50:36",1.584,1.544,1.007,0.988,1.587,1.65,30.4955555555556,"Day 1
06:29"
