"","point","time","KS03-1","KS03-2","KS08-1","KS08-2","na1","na2","time_lbl"
"1",0,"11:02:44",0.008,0.01,0.003,0.002,0,-0.009,"Day 0
00:00"
"2",1,"11:32:44",0.011,0.012,0.003,-0.001,-0.002,-0.008,"Day 0
00:30"
"3",2,"12:02:42",0.013,0.013,0.003,-0.002,-0.002,-0.009,"Day 0
00:59"
"4",3,"12:32:41",0.023,0.019,0.004,-0.001,-0.001,-0.008,"Day 0
01:29"
"5",4,"13:02:41",0.035,0.026,0.005,-0.002,-0.001,-0.008,"Day 0
01:59"
"6",5,"13:32:39",0.046,0.035,0.005,0,0,-0.008,"Day 0
02:29"
"7",6,"14:02:43",0.064,0.047,0.005,-0.002,-0.001,-0.008,"Day 0
02:59"
"8",7,"14:32:40",0.085,0.064,0.005,0.002,0,-0.008,"Day 0
03:29"
"9",8,"15:02:39",0.115,0.084,0.006,0,-0.002,-0.009,"Day 0
03:59"
"10",9,"15:32:38",0.155,0.113,0.01,0.002,0,-0.008,"Day 0
04:29"
"11",10,"16:02:38",0.208,0.15,0.012,0.003,-0.001,-0.005,"Day 0
04:59"
"12",11,"16:32:38",0.275,0.201,0.013,0.004,0.001,-0.006,"Day 0
05:29"
"13",12,"17:02:37",0.356,0.265,0.015,0.006,-0.001,-0.004,"Day 0
05:59"
"14",13,"17:32:38",0.461,0.343,0.02,0.008,0.001,-0.008,"Day 0
06:29"
"15",14,"18:02:41",0.576,0.436,0.024,0.011,-0.001,-0.006,"Day 0
06:59"
"16",15,"18:32:37",0.666,0.548,0.03,0.016,0,-0.009,"Day 0
07:29"
"17",16,"19:02:38",0.687,0.633,0.039,0.022,-0.001,-0.006,"Day 0
07:59"
"18",17,"19:32:36",0.712,0.657,0.052,0.03,-0.002,-0.006,"Day 0
08:29"
"19",18,"20:02:38",0.725,0.681,0.064,0.039,0,-0.009,"Day 0
08:59"
"20",19,"20:32:37",0.743,0.7,0.08,0.052,0,-0.008,"Day 0
09:29"
"21",20,"21:02:37",0.765,0.715,0.103,0.067,-0.001,-0.009,"Day 0
09:59"
"22",21,"21:32:35",0.782,0.739,0.128,0.088,-0.001,-0.006,"Day 0
10:29"
"23",22,"22:02:36",0.804,0.754,0.16,0.117,-0.002,-0.006,"Day 0
10:59"
"24",23,"22:32:35",0.822,0.767,0.195,0.147,-0.002,-0.008,"Day 0
11:29"
"25",24,"23:02:34",0.837,0.785,0.238,0.189,-0.002,-0.01,"Day 0
11:59"
"26",25,"23:32:38",0.86,0.8,0.291,0.245,-0.002,-0.008,"Day 0
12:29"
"27",26,"00:02:35",0.874,0.818,0.351,0.308,-0.002,-0.009,"Day 0
12:59"
"28",27,"00:32:33",0.896,0.83,0.433,0.388,-0.002,-0.009,"Day 0
13:29"
"29",28,"01:02:35",0.917,0.858,0.504,0.476,-0.002,-0.008,"Day 0
13:59"
"30",29,"01:32:33",0.94,0.879,0.605,0.587,0,-0.008,"Day 0
14:29"
"31",30,"02:02:35",0.962,0.895,0.71,0.693,-0.003,-0.008,"Day 0
14:59"
"32",31,"02:32:32",0.989,0.92,0.845,0.829,-0.002,-0.008,"Day 0
15:29"
"33",32,"03:02:32",1.006,0.942,0.984,0.93,-0.002,-0.006,"Day 0
15:59"
"34",33,"03:32:33",1.027,0.961,1.08,0.994,-0.002,-0.01,"Day 0
16:29"
"35",34,"04:02:31",1.037,0.969,1.153,1.052,-0.002,-0.009,"Day 0
16:59"
"36",35,"04:32:32",1.056,0.988,1.207,1.093,-0.002,-0.008,"Day 0
17:29"
"37",36,"05:02:31",1.071,1.001,1.254,1.143,0,-0.008,"Day 0
17:59"
"38",37,"05:32:30",1.076,1.019,1.295,1.19,-0.002,-0.009,"Day 0
18:29"
"39",38,"06:02:30",1.09,1.029,1.347,1.228,-0.002,-0.006,"Day 0
18:59"
"40",39,"06:32:30",1.101,1.046,1.386,1.269,-0.002,-0.009,"Day 0
19:29"
"41",40,"07:02:31",1.109,1.05,1.411,1.313,-0.002,-0.009,"Day 0
19:59"
"42",41,"07:32:33",1.121,1.048,1.449,1.332,-0.002,-0.009,"Day 0
20:29"
"43",42,"08:02:29",1.129,1.063,1.475,1.367,-0.003,-0.008,"Day 0
20:59"
"44",43,"08:32:32",1.136,1.069,1.499,1.406,-0.002,-0.008,"Day 0
21:29"
"45",44,"09:02:28",1.138,1.069,1.524,1.434,-0.002,-0.006,"Day 0
21:59"
"46",45,"09:32:30",1.149,1.072,1.518,1.453,-0.001,-0.008,"Day 0
22:29"
"47",46,"10:02:29",1.155,1.08,1.531,1.491,-0.001,-0.006,"Day 0
22:59"
