"","point","time","KS-08-1/10_1","KS-08-1/10_2","KS-08-1/100_1","KS-08-1/100_2","KS-03-1/10_1","KS-03-1/10_2","elapsed_h","time_lbl"
"1",0,"17:24:03",0.183,0.218,0.112,0.041,0.097,0.187,0,"Day 0
00:00"
"2",1,"17:54:00",0.132,0.201,0.126,0.115,0.098,0.234,0.499166666666667,"Day 0
00:29"
"3",2,"18:24:03",0.321,0.177,0.12,0.133,0.125,0.273,1,"Day 0
01:00"
"4",3,"18:54:01",0.122,0.169,0.147,0.321,0.176,0.506,1.49944444444444,"Day 0
01:29"
"5",4,"19:24:01",0.235,0.168,0.163,0.179,0.141,0.227,1.99944444444444,"Day 0
01:59"
"6",5,"19:54:01",0.099,0.31,0.127,0.197,0.19,0.252,2.49944444444444,"Day 0
02:29"
"7",6,"20:24:01",0.125,0.192,0.142,0.249,0.142,0.25,2.99944444444444,"Day 0
02:59"
"8",7,"20:54:04",0.098,0.175,0.144,0.171,0.316,0.304,3.50027777777778,"Day 0
03:30"
"9",8,"21:24:02",0.129,0.219,0.14,0.346,0.142,0.265,3.99972222222222,"Day 0
03:59"
"10",9,"21:53:58",0.141,0.16,0.144,0.18,0.216,0.3,4.49861111111111,"Day 0
04:29"
"11",10,"22:23:59",0.137,0.193,0.147,0.267,0.166,0.35,4.99888888888889,"Day 0
04:59"
"12",11,"22:54:03",0.143,0.216,0.146,0.285,0.147,0.273,5.5,"Day 0
05:30"
"13",12,"23:24:03",0.07,0.224,0.155,0.209,0.216,0.3,6,"Day 0
06:00"
"14",13,"23:54:02",0.126,0.2,0.18,0.307,0.17,0.282,6.49972222222222,"Day 0
06:29"
"15",14,"00:24:00",0.151,0.222,0.171,0.238,0.179,0.302,6.99916666666667,"Day 0
06:59"
"16",15,"00:54:00",0.18,0.199,0.194,0.332,0.192,0.259,7.49916666666667,"Day 0
07:29"
"17",16,"01:23:58",0.114,0.226,0.17,0.271,0.134,0.408,7.99861111111111,"Day 0
07:59"
"18",17,"01:53:56",0.118,0.23,0.172,0.264,0.148,0.327,8.49805555555556,"Day 0
08:29"
"19",18,"02:24:00",0.397,0.172,0.144,0.249,0.153,0.267,8.99916666666667,"Day 0
08:59"
"20",19,"02:53:56",0.082,0.189,0.172,0.221,0.141,0.38,9.49805555555556,"Day 0
09:29"
"21",20,"03:23:58",0.191,0.157,0.24,0.252,0.17,0.372,9.99861111111111,"Day 0
09:59"
"22",21,"03:53:56",0.126,0.177,0.16,0.258,0.179,0.379,10.4980555555556,"Day 0
10:29"
"23",22,"04:24:01",0.183,0.223,0.169,0.237,0.156,0.476,10.9994444444444,"Day 0
10:59"
"24",23,"04:53:55",0.127,0.189,0.172,0.227,0.185,0.288,11.4977777777778,"Day 0
11:29"
"25",24,"05:24:00",0.095,0.161,0.186,0.26,0.228,0.314,11.9991666666667,"Day 0
11:59"
"26",25,"05:53:56",0.155,0.211,0.262,0.238,0.165,0.284,12.4980555555556,"Day 0
12:29"
"27",26,"06:23:54",0.16,0.154,0.176,0.248,0.185,0.284,12.9975,"Day 0
12:59"
"28",27,"06:53:59",0.095,0.127,0.183,0.233,0.166,0.286,13.4988888888889,"Day 0
13:29"
"29",28,"07:23:53",0.122,0.166,0.157,0.303,0.22,0.287,13.9972222222222,"Day 0
13:59"
"30",29,"07:53:54",0.161,0.158,0.192,0.317,0.157,0.292,14.4975,"Day 0
14:29"
"31",30,"08:23:57",0.1,0.198,0.191,0.306,0.178,0.358,14.9983333333333,"Day 0
14:59"
"32",31,"08:53:53",0.182,0.189,0.266,0.303,0.176,0.336,15.4972222222222,"Day 0
15:29"
"33",32,"09:23:50",0.139,0.18,0.227,0.452,0.25,0.282,15.9963888888889,"Day 0
15:59"
"34",33,"09:53:53",0.147,0.204,0.17,0.362,0.171,0.338,16.4972222222222,"Day 0
16:29"
"35",34,"10:23:54",0.173,0.194,0.157,0.23,0.129,0.272,16.9975,"Day 0
16:59"
"36",35,"10:53:50",0.153,0.178,0.177,0.323,0.192,0.316,17.4963888888889,"Day 0
17:29"
"37",36,"11:23:50",0.126,0.194,0.164,0.26,0.178,0.304,17.9963888888889,"Day 0
17:59"
"38",37,"11:53:50",0.141,0.204,0.249,0.275,0.147,0.375,18.4963888888889,"Day 0
18:29"
"39",38,"12:23:51",0.084,0.214,0.137,0.252,0.158,0.349,18.9966666666667,"Day 0
18:59"
"40",39,"12:53:55",0.14,0.157,0.161,0.228,0.151,0.34,19.4977777777778,"Day 0
19:29"
"41",40,"13:23:53",0.156,0.166,0.27,0.32,0.177,0.281,19.9972222222222,"Day 0
19:59"
"42",41,"13:53:51",0.126,0.151,0.247,0.387,0.14,0.332,20.4966666666667,"Day 0
20:29"
"43",42,"14:23:47",0.059,0.183,0.201,0.257,0.143,0.32,20.9955555555556,"Day 0
20:59"
