"","point","time","KS-03-1/100_1","KS-03-1/100_2","KS-08-KS-03_1","KS-08-KS-03_2","NC_1","NC_2","elapsed_h","time_lbl"
"1",0,"14:07:39",0.175,-0.352,-0.103,0.273,0.081,0.016,0,"Day 0
00:00"
"2",1,"14:37:40",0.294,-0.191,-0.249,0.669,0.12,-0.009,0.500277777777778,"Day 0
00:30"
"3",2,"15:07:36",0.052,0.048,0.119,0.571,0.627,0.012,0.999166666666667,"Day 0
00:59"
"4",3,"15:37:37",0.24,-0.407,-0.055,0.523,0.084,0.089,1.49944444444444,"Day 0
01:29"
"5",4,"16:07:35",0.139,-0.131,0.337,0.549,0.07,0.064,1.99888888888889,"Day 0
01:59"
"6",5,"16:37:34",0.459,0.125,0.14,0.395,0.091,0.206,2.49861111111111,"Day 0
02:29"
"7",6,"17:07:38",0.534,-0.514,-0.184,0.328,0.125,0.024,2.99972222222222,"Day 0
02:59"
"8",7,"17:37:33",0.417,-0.473,-0.162,0.627,0.089,-0.013,3.49833333333333,"Day 0
03:29"
"9",8,"18:07:35",0.287,-0.139,0.122,0.63,0.09,0.504,3.99888888888889,"Day 0
03:59"
"10",9,"18:37:35",0.331,0.01,0.139,0.567,0.147,-0.005,4.49888888888889,"Day 0
04:29"
"11",10,"19:07:34",0.314,-0.148,0.191,0.767,0.131,0.415,4.99861111111111,"Day 0
04:59"
"12",11,"19:37:32",-0.262,-0.149,0.012,0.591,0.155,0.085,5.49805555555556,"Day 0
05:29"
"13",12,"20:07:35",0.391,-0.06,0.361,0.353,0.176,-0.03,5.99888888888889,"Day 0
05:59"
"14",13,"20:37:30",0.092,-0.448,0.142,0.688,0.183,0.442,6.4975,"Day 0
06:29"
"15",14,"21:07:32",0.583,-0.104,0.086,0.672,0.182,0.72,6.99805555555556,"Day 0
06:59"
"16",15,"21:37:35",0.089,-0.059,-0.004,0.657,0.201,-0.002,7.49888888888889,"Day 0
07:29"
"17",16,"22:07:32",0.354,-0.396,0.148,0.571,0.219,0.151,7.99805555555556,"Day 0
07:59"
"18",17,"22:37:29",0.333,-0.189,-0.258,0.593,0.277,0.691,8.49722222222222,"Day 0
08:29"
"19",18,"23:07:30",0.005,0.41,-0.202,0.33,0.248,0.039,8.9975,"Day 0
08:59"
"20",19,"23:37:29",0.318,-0.25,0.084,0.553,0.244,0.488,9.49722222222222,"Day 0
09:29"
"21",20,"00:07:32",0.498,0.151,-0.259,0.676,0.313,0.01,9.99805555555556,"Day 0
09:59"
"22",21,"00:37:27",0.354,-0.401,-0.221,0.687,0.397,-0.044,10.4966666666667,"Day 0
10:29"
"23",22,"01:07:30",0.325,-0.047,-0.271,0.337,0.301,0.44,10.9975,"Day 0
10:59"
"24",23,"01:37:32",0.057,0.066,-0.224,0.692,0.279,0.142,11.4980555555556,"Day 0
11:29"
"25",24,"02:07:29",0.385,-0.277,-0.01,0.324,0.284,0.24,11.9972222222222,"Day 0
11:59"
"26",25,"02:37:30",0.347,-0.259,-0.369,0.663,0.36,-0.032,12.4975,"Day 0
12:29"
"27",26,"03:07:27",-0.093,0.035,-0.395,0.449,0.373,-0.038,12.9966666666667,"Day 0
12:59"
"28",27,"03:37:30",0.208,-0.294,0.062,0.475,0.427,0.663,13.4975,"Day 0
13:29"
"29",28,"04:07:32",-0.03,-0.333,0.031,0.722,0.408,0.078,13.9980555555556,"Day 0
13:59"
"30",29,"04:37:27",0.035,-0.322,-0.03,0.825,0.466,-0.04,14.4966666666667,"Day 0
14:29"
"31",30,"05:07:29",0.272,-0.088,-0.179,0.632,0.538,-0.035,14.9972222222222,"Day 0
14:59"
"32",31,"05:37:25",0.323,0.024,-0.419,0.657,0.557,-0.017,15.4961111111111,"Day 0
15:29"
"33",32,"06:07:27",0.148,0.231,-0.006,0.379,0.507,-0.038,15.9966666666667,"Day 0
15:59"
"34",33,"06:37:30",0.2,-0.547,-0.375,0.712,0.574,-0.049,16.4975,"Day 0
16:29"
"35",34,"07:07:23",0.136,-0.062,0.078,0.662,0.546,0.073,16.9955555555556,"Day 0
16:59"
"36",35,"07:37:28",0.683,0.063,0.124,0.77,0.642,-0.045,17.4969444444444,"Day 0
17:29"
"37",36,"08:07:29",0.329,0.119,-0.328,0.487,0.636,-0.041,17.9972222222222,"Day 0
17:59"
"38",37,"08:37:30",0.614,0.14,-0.349,0.55,0.632,-0.009,18.4975,"Day 0
18:29"
"39",38,"09:07:26",0.121,0.012,-0.073,0.616,0.666,-0.038,18.9963888888889,"Day 0
18:59"
"40",39,"09:37:23",-0.052,0.263,-0.425,0.751,0.706,-0.046,19.4955555555556,"Day 0
19:29"
"41",40,"10:07:26",0.383,-0.263,0.211,0.51,0.76,-0.038,19.9963888888889,"Day 0
19:59"
"42",41,"10:37:23",0.525,0.235,0.003,0.64,0.746,-0.055,20.4955555555556,"Day 0
20:29"
"43",42,"11:07:25",0.332,0.026,-0.054,0.829,0.816,-0.046,20.9961111111111,"Day 0
20:59"
"44",43,"11:37:24",-0.121,-0.466,-0.419,0.838,0.853,-0.052,21.4958333333333,"Day 0
21:29"
"45",44,"12:07:25",0.481,-0.057,0.105,0.684,0.906,0.337,21.9961111111111,"Day 0
21:59"
"46",45,"12:37:26",0.107,-0.131,-0.353,0.678,0.906,-0.054,22.4963888888889,"Day 0
22:29"
"47",46,"13:07:22",0.365,0.006,-0.105,0.765,0.953,-0.048,22.9952777777778,"Day 0
22:59"
"48",47,"13:37:23",0.449,-0.019,-0.124,0.524,1.117,-0.048,23.4955555555556,"Day 0
23:29"
"49",48,"14:07:25",0.533,0,0.201,0.292,1.034,-0.057,23.9961111111111,"Day 0
23:59"
"50",49,"14:37:23",0.259,-0.316,-0.133,0.7,1.042,-0.062,24.4955555555556,"Day 1
00:29"
"51",50,"15:07:22",0.353,-0.234,-0.409,0.434,1.061,-0.033,24.9952777777778,"Day 1
00:59"
"52",51,"15:37:19",0.154,-0.506,-0.237,0.663,1.078,-0.024,25.4944444444444,"Day 1
01:29"
"53",52,"16:07:20",0.31,-0.098,-0.218,0.817,1.097,0.273,25.9947222222222,"Day 1
01:59"
"54",53,"16:37:24",0.402,-0.151,-0.364,0.747,1.049,-0.061,26.4958333333333,"Day 1
02:29"
"55",54,"17:07:20",0.34,0.143,-0.244,0.799,1.252,-0.061,26.9947222222222,"Day 1
02:59"
