KS-01	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium limneticum(0.22)	+
KS-02	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.20)	+
KS-04	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium oryzae(0.54)	+
KS-03	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.27)	+
KS-06	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.97),s:Achromobacter insolitus(0.44)	+
KS-05	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.38)	+
KS-07	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium algicola(0.19)	+
KS-08	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.21)	+
KS-11	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.92),s:Achromobacter xylosoxidans(0.64)	+
KS-09	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium tardum(0.41)	+
KS-10	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Stenotrophomonas(0.98),s:MUYX_s(0.40)	+
KS-20	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium algicola(0.22)	+
KS-22	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.99),s:Cupriavidus pampae(0.36)	+
KS-24	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.29)	+
KS-23	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium oryzae(0.51)	+
KS-21	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(1.00),g:Ochrobactrum(0.92),s:Ochrobactrum intermedium(0.92)	+
KS-25	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium algicola(0.20)	+
KS-26	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.99),s:Cupriavidus plantarum(0.24)	+
KS-29	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.37)	+
KS-27	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.33)	+
KS-30	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.95),s:Achromobacter xylosoxidans(0.70)	+
KS-33	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.97),s:Achromobacter insolitus(0.52)	+
KS-32	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.98),s:Cupriavidus plantarum(0.31)	+
KS-34	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.29)	+
KS-36	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.98),s:Achromobacter piechaudii(0.86)	+
KS-35	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.23)	+
