Kasper_KS-36-1 consensus len=1322	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.96),s:Achromobacter piechaudii(0.83)	+
Kasper_KS-32-1 consensus len=1322	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.34)	+
Kasper_KS-21-1 consensus len=1326	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(1.00),g:Ochrobactrum(0.92),s:Ochrobactrum intermedium(0.92)	+
ST-D1_7 consensus len=443	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(0.98),g:Ochrobactrum(0.86),s:Ochrobactrum intermedium(0.85)	+
KS-06-1 consensus len=1416	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.97),s:Achromobacter insolitus(0.49)	+
KS-03-1 consensus len=1331	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.99),s:Cupriavidus plantarum(0.28)	+
Kasper_KS-25-1 consensus len=1266	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(0.99),s:Sphingobium algicola(0.20)	+
ST-A1 consensus len=445	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(0.99),g:Ochrobactrum(0.89),s:Ochrobactrum intermedium(0.82)	+
Kasper_KS-25-2 consensus len=1274	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.22)	+
Kasper_KS-32-2 consensus len=1353	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.32)	+
KS-09-1 consensus len=1321	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium oryzae(0.36)	+
