"","query","genus","species","pident"
"1","KS-01-1","Sphingobium","Sphingobium paulinellae",98.2
"2","KS-01-2","Sphingobium","Sphingobium paulinellae",98.4
"3","KS-02-1","Sphingobium","Sphingobium paulinellae",98.2
"4","KS-02-2","Staphylococcus","Staphylococcus warneri",81.4
"5","KS-03-1","Cupriavidus","Cupriavidus plantarum",98.5
"6","KS-04-1","Methylobacterium","Methylobacterium oryzae",99.5
"7","KS-05-1","Cupriavidus","Cupriavidus plantarum",98.4
"8","KS-05-2","Cupriavidus","Cupriavidus plantarum",98.8
"9","KS-06-1","Achromobacter","Achromobacter insolitus",99.2
"10","KS-06-2","Achromobacter","Achromobacter insolitus",99.2
"11","KS-07-1","Sphingobium","Sphingobium paulinellae",98.2
"12","KS-07-2","Sphingobium","Sphingobium paulinellae",98.5
"13","KS-08-1","Sphingobium","Sphingobium paulinellae",97.9
"14","KS-08-2","Sphingobium","Sphingobium paulinellae",97.6
"15","KS-09-1","Methylobacterium","Methylobacterium oryzae",98.9
"16","KS-09-2","Methylobacterium","Methylobacterium oryzae",98.6
"17","KS-10-1","Stenotrophomonas","Stenotrophomonas MUYX_s",98.8
"18","KS-10-2","Stenotrophomonas","Stenotrophomonas MUYX_s",98.7
"19","KS-11-1","Achromobacter","Achromobacter xylosoxidans",99.3
"20","KS-11-2","Achromobacter","Achromobacter xylosoxidans",99.4
"21","KS-20-1","Sphingobium","Sphingobium paulinellae",98
"22","KS-20-2","Sphingobium","Sphingobium paulinellae",97.7
"23","KS-21-1","Ochrobactrum","Ochrobactrum intermedium",98.8
"24","KS-21-2","Ochrobactrum","Ochrobactrum intermedium",98.4
"25","KS-22-1","Cupriavidus","Cupriavidus plantarum",98.3
"26","KS-22-2","Cupriavidus","Cupriavidus plantarum",97.8
"27","KS-23-2","Methylobacterium","Methylobacterium oryzae",99
"28","KS-24-1","Cupriavidus","Cupriavidus plantarum",98.5
"29","KS-25-1","Sphingobium","Sphingobium paulinellae",98
"30","KS-25-2","Sphingobium","Sphingobium paulinellae",98.2
"31","KS-26-1","Cupriavidus","Cupriavidus plantarum",98.5
"32","KS-26-2","Cupriavidus","Cupriavidus plantarum",98.9
"33","KS-27-1","Bosea","Bosea thiooxidans",99.4
"34","KS-27-2","Bosea","Bosea thiooxidans",99
"35","KS-28-2","Achromobacter","Achromobacter insolitus",88.6
"36","KS-29-1","Bosea","Bosea thiooxidans",98.9
"37","KS-29-2","Bosea","Bosea thiooxidans",97.9
"38","KS-30-1","Achromobacter","Achromobacter xylosoxidans",99.1
"39","KS-30-2","Achromobacter","Achromobacter xylosoxidans",98.9
"40","KS-32-1","Cupriavidus","Cupriavidus plantarum",99.2
"41","KS-32-2","Cupriavidus","Cupriavidus plantarum",98.6
"42","KS-33-1","Achromobacter","Achromobacter insolitus",98.2
"43","KS-34-1","Cupriavidus","Cupriavidus plantarum",99.1
"44","KS-34-2","Cupriavidus","Cupriavidus plantarum",98.3
"45","KS-35-1","Sphingobium","Sphingobium paulinellae",98.2
"46","KS-35-2","Sphingobium","Sphingobium paulinellae",98.1
"47","KS-36-1","Achromobacter","Achromobacter piechaudii",99.5
"48","KS-36-2","Achromobacter","Achromobacter piechaudii",99.2
"49","ST-10","Sphingobium","Sphingobium yanoikuyae",99.3
"50","ST-A1","Ochrobactrum","Ochrobactrum intermedium",99.5
"51","ST-A29","Microbacterium","Microbacterium hydrocarbonoxydans",99.5
"52","ST-A35","Pseudoxanthomonas","Pseudoxanthomonas indica",98.5
"53","ST-B1","Ochrobactrum","Ochrobactrum intermedium",99.5
"54","ST-B11","Microbacterium","Microbacterium hydrocarbonoxydans",99.6
"55","ST-B3","Pseudoxanthomonas","Pseudoxanthomonas japonensis",99.1
"56","ST-B5","Ochrobactrum","Ochrobactrum intermedium",99.5
"57","ST-B7","Microbacterium","Microbacterium hydrocarbonoxydans",99.6
"58","ST-C7","Microbacterium","Microbacterium hydrocarbonoxydans",99.3
"59","ST-D1_1","Stenotrophomonas","Stenotrophomonas PEJT_s",99.6
"60","ST-D1_7","Ochrobactrum","Ochrobactrum intermedium",99.5
"61","ST-127","Pseudomonas","Pseudomonas PDJN_s",99.6
"62","ST-3","Chryseobacterium","Chryseobacterium cucumeris",99.6
"63","ST-7","Chitinophaga","Chitinophaga eiseniae",98.3
"64","ST-71","Pseudoxanthomonas","Pseudoxanthomonas indica",97.9
"65","ST-83","Achromobacter","Achromobacter xylosoxidans",99.6
"66","ST-B8-2","Pseudoxanthomonas","Pseudoxanthomonas indica",97.9
"67","ST-C1","Ochrobactrum","Ochrobactrum intermedium",98.4
"68","ST-C2","Stenotrophomonas","Stenotrophomonas PEJT_s",98.9
"69","ST-C4","Paenarthrobacter","Paenarthrobacter nitroguajacolicus",98.7
"70","ST-C5","Sphingobium","Sphingobium yanoikuyae",99.1
"71","ST-C9-1","Ochrobactrum","Ochrobactrum intermedium",98.9
