"Sample","Original_Cq_nidA","Original_Cq_phnAc","Corrected_Cq_nidA","Corrected_Cq_phnAc"
"EHC-1-1",25.2476949390083,39.1743028802308,25.2476949390083,39.0544709889984
"EHC-1-2",25.2418444301825,33.3730755075695,25.2418444301825,33.2706100049148
"EHC-1-3",25.3398460545264,36.6332140738485,25.3398460545264,36.5092409042767
"EHC-2-1",24.356612015746,39.369951776627,24.356612015746,39.2306540405912
"EHC-2-2",24.7476226701777,37.5827271385829,24.7476226701777,37.461906627459
"EHC-2-3",24.472695484051,35.3307885748452,24.472695484051,35.2241954001771
"EHC-od-1-1",27.9371159745343,39.4276152768962,27.9371159745343,39.3101472193514
"EHC-od-1-2",27.746845023925,34.7257260752016,27.746845023925,34.6035914337688
"EHC-od-1-3",27.8200092425495,35.242556539082,27.8200092425495,35.1527020741806
"EHC-od-2-1",25.5182492608604,38.9190380584274,25.5182492608604,38.7658402986727
"EHC-od-2-2",25.6261100083761,37.9218395290386,25.626110008376,37.7611092797353
"EHC-od-2-3",26.6359653920679,38.1481224001271,26.6359653920679,38.0256044395274
"KS3-10-1-1",23.3506646187635,37.3762283491773,23.3506646187635,37.261607641437
"KS3-10-1-2",23.494925107801,36.8651746551712,23.494925107801,36.7447243902672
"KS3-10-1-3",23.5435083267307,NA,23.5435083267307,NA
"KS3-10-2-1",22.280228747787,39.7574650085976,22.2802287477869,39.5595294954849
"KS3-10-2-2",22.5928750662602,39.5659087599098,22.5928750662602,39.3842280183603
"KS3-10-2-3",23.3506679415426,38.5265483021758,23.3506679415426,38.3450958317538
"KS3-100-1-1",28.4268156307584,NA,28.4268156307584,NA
"KS3-100-1-2",28.4551780147771,35.9844669290115,28.4551780147771,35.843153772837
"KS3-100-1-3",28.2837707142326,35.0711790108923,28.2837707142326,34.9814946340487
"KS3-100-2-1",25.4651741314703,35.3506735333124,25.4651741314703,35.2554449898033
"KS3-100-2-2",25.2625113486196,36.6211101073392,25.2625113486196,36.4984636179125
"KS3-100-2-3",25.2803214515271,36.8226264295248,25.2803214515271,36.6884329534418
"KS3-KS8-1-1",28.4917913490143,NA,28.4917913490143,NA
"KS3-KS8-1-2",28.412430662621,36.2536993517102,28.412430662621,36.1525280286131
"KS3-KS8-1-3",28.7337003273882,NA,28.7337003273882,39.9217622769657
"KS3-KS8-2-1",26.7164126452672,35.5785433910389,26.7164126452672,35.4681494947735
"KS3-KS8-2-2",26.647196959429,39.4287367565449,26.647196959429,39.297493132481
"KS3-KS8-2-3",26.7154470647076,35.3024638303935,26.7154470647076,35.2000052377782
"KS8-10-1-1",23.7624651401089,36.3384950688229,23.7624651401089,36.2204667738188
"KS8-10-1-2",23.7375271309694,34.4069112255114,23.7375271309694,34.3091576755449
"KS8-10-1-3",23.7530836884893,38.6910349733853,23.7530836884893,38.5422035986414
"KS8-10-2-1",23.9006279862236,34.7102307490283,23.9006279862236,34.5912672295165
"KS8-10-2-2",24.1276958579299,38.6579883356301,24.1276958579299,38.5136040403998
"KS8-10-2-3",24.3117670451094,39.4833424936079,24.3117670451094,39.3382368024149
"KS8-100-1-1",26.6925506074911,35.6461771623049,26.6925506074911,35.5226055624418
"KS8-100-1-2",26.3013642618665,35.0778886622831,26.3013642618665,34.9847251741115
"KS8-100-1-3",26.4891201808248,35.0302014405725,26.4891201808248,34.9104179859214
"KS8-100-2-1",25.1775592260003,38.9420013682668,25.1775592260003,38.7745808365818
"KS8-100-2-2",25.056260636177,36.0686672021537,25.056260636177,35.9659418783313
"KS8-100-2-3",25.1107286916395,38.5386772813866,25.1107286916395,38.405441682609
"KS8-od-1-1",27.3415163926674,39.61731334553,27.3415163926674,39.4747228831404
"KS8-od-1-2",26.3643415260292,NA,26.3643415260292,NA
"KS8-od-1-3",26.8744442221018,39.2430618399574,26.8744442221018,39.1302565042208
"KS8-od-2-1",27.3193615404607,34.893560608037,27.3193615404607,34.7538132404911
"KS8-od-2-2",26.4074803923826,35.8630420145334,26.4074803923825,35.728973979407
"KS8-od-2-3",26.4610530409228,38.2921760702237,26.4610530409228,38.1466660780198
"NC-1-1",32.9734131557912,NA,32.9734131557912,NA
"NC-1-2",34.0602187083074,34.4501858363809,34.0602187083074,34.3465636716764
"NC-1-3",35.4922171625758,NA,35.4922171625758,NA
"NC-2-1",32.6487583838197,33.5365353377948,32.6487583838197,33.4244299633079
"NC-2-2",39.6273756440228,NA,39.6273756440228,NA
"NC-2-3",34.30524364151,34.4625208050486,34.30524364151,34.3599406609692
"NC-samp-1-1",35.0427921093716,36.36654022711,35.0427921093716,36.2645460346631
"NC-samp-1-2",33.4316680911631,NA,33.4316680911631,NA
"NC-samp-1-3",33.3445181358938,NA,33.3445181358938,NA
"NC-samp-2-1",33.6946794096612,NA,33.6946794096612,NA
"NC-samp-2-2",35.0259371657719,38.732468969857,35.0259371657719,38.6013635814473
"NC-samp-2-3",34.2143795346443,35.8044724165828,34.2143795346443,35.683756230105
