"Sample","Well","Original_Cq","Calculated_Threshold","Column_Used"
"KS8-od-1-1","A01",27.3415163926674,162.655889161824,"KS8-od1-1"
"KS8-od-1-2","A02",26.3643415260292,162.655889161835,"KS8-od1-2"
"KS8-od-1-3","A03",26.8744442221018,162.655889161828,"KS8-od1-3"
"KS8-od-2-1","A04",27.3193615404607,162.655889161826,"KS8-od2-1"
"KS8-od-2-2","A05",26.4074803923826,162.655889161835,"KS8-od2-2"
"KS8-od-2-3","A06",26.4610530409228,162.655889161834,"KS8-od2-3"
"EHC-od-1-1","A07",27.9371159745343,162.655889161827,"EHC-od1-1"
"EHC-od-1-2","A08",27.746845023925,162.655889161827,"EHC-od1-2"
"EHC-od-1-3","A09",27.8200092425495,162.65588916183,"EHC-od1-3"
"EHC-od-2-1","A10",25.5182492608604,162.655889161833,"EHC-od2-1"
"EHC-od-2-2","A11",25.6261100083761,162.655889161833,"EHC-od2-2"
"EHC-od-2-3","A12",26.6359653920679,162.65588916183,"EHC-od2-3"
"EHC-1-1","B01",25.2476949390083,162.655889161827,"EHC-1-1"
"EHC-1-2","B02",25.2418444301825,162.655889161835,"EHC-1-2"
"EHC-1-3","B03",25.3398460545264,162.655889161829,"EHC-1-3"
"EHC-2-1","B04",24.356612015746,162.655889161828,"EHC-2-1"
"EHC-2-2","B05",24.7476226701777,162.65588916183,"EHC-2-2"
"EHC-2-3","B06",24.472695484051,162.655889161831,"EHC-2-3"
"KS8-10-1-1","B07",23.7624651401089,162.655889161832,"KS8-10-1-1"
"KS8-10-1-2","B08",23.7375271309694,162.655889161825,"KS8-10-1-2"
"KS8-10-1-3","B09",23.7530836884893,162.655889161828,"KS8-10-1-3"
"KS8-10-2-1","B10",23.9006279862236,162.655889161829,"KS8-10-2-1"
"KS8-10-2-2","B11",24.1276958579299,162.65588916183,"KS8-10-2-2"
"KS8-10-2-3","B12",24.3117670451094,162.655889161829,"KS8-10-2-3"
"KS8-100-1-1","C01",26.6925506074911,162.655889161828,"KS8-100-1-1"
"KS8-100-1-2","C02",26.3013642618665,162.655889161826,"KS8-100-1-2"
"KS8-100-1-3","C03",26.4891201808248,162.655889161825,"KS8-100-1-3"
"KS8-100-2-1","C04",25.1775592260003,162.655889161834,"KS8-100-2-1"
"KS8-100-2-2","C05",25.056260636177,162.655889161829,"KS8-100-2-2"
"KS8-100-2-3","C06",25.1107286916395,162.655889161827,"KS8-100-2-3"
"KS3-10-1-1","C07",23.3506646187635,162.655889161827,"KS3-10-1-1"
"KS3-10-1-2","C08",23.494925107801,162.655889161829,"KS3-10-1-2"
"KS3-10-1-3","C09",23.5435083267307,162.655889161827,"KS3-10-1-3"
"KS3-10-2-1","C10",22.280228747787,162.655889161834,"KS3-10-2-1"
"KS3-10-2-2","C11",22.5928750662602,162.655889161829,"KS3-10-2-2"
"KS3-10-2-3","C12",23.3506679415426,162.655889161826,"KS3-10-2-3"
"KS3-100-1-1","D01",28.4268156307584,162.655889161833,"KS3-100-1-1"
"KS3-100-1-2","D02",28.4551780147771,162.655889161825,"KS3-100-1-2"
"KS3-100-1-3","D03",28.2837707142326,162.655889161828,"KS3-100-1-3"
"KS3-100-2-1","D04",25.4651741314703,162.655889161828,"KS3-100-2-1"
"KS3-100-2-2","D05",25.2625113486196,162.655889161834,"KS3-100-2-2"
"KS3-100-2-3","D06",25.2803214515271,162.65588916183,"KS3-100-2-3"
"KS3-KS8-1-1","D07",28.4917913490143,162.655889161828,"KS3-KS8-1-1"
"KS3-KS8-1-2","D08",28.412430662621,162.655889161834,"KS3-KS8-1-2"
"KS3-KS8-1-3","D09",28.7337003273882,162.655889161831,"KS3-KS8-1-3"
"KS3-KS8-2-1","D10",26.7164126452672,162.655889161828,"KS3-KS8-2-1"
"KS3-KS8-2-2","D11",26.647196959429,162.655889161827,"KS3-KS8-2-2"
"KS3-KS8-2-3","D12",26.7154470647076,162.655889161828,"KS3-KS8-2-3"
"NC-samp-1-1","E01",35.0427921093716,162.65588916183,"NC-samp1-1"
"NC-samp-1-2","E02",33.4316680911631,162.65588916183,"NC-samp1-2"
"NC-samp-1-3","E03",33.3445181358938,162.65588916183,"NC-samp1-3"
"NC-samp-2-1","E04",33.6946794096612,162.655889161829,"NC-samp2-1"
"NC-samp-2-2","E05",35.0259371657719,162.655889161836,"NC-samp2-2"
"NC-samp-2-3","E06",34.2143795346443,162.655889161824,"NC-samp2-3"
"NC-1-1","E07",32.9734131557912,162.655889161829,"NC-1-1"
"NC-1-2","E08",34.0602187083074,162.655889161831,"NC-1-2"
"NC-1-3","E09",35.4922171625758,162.655889161825,"NC-1-3"
"NC-2-1","E10",32.6487583838197,162.655889161825,"NC-2-1"
"NC-2-2","E11",39.6273756440228,162.65588916183,"NC-2-2"
"NC-2-3","E12",34.30524364151,162.655889161833,"NC-2-3"
