"Sample","Original_Cq","Calculated_Threshold","Column_Matched"
"KS8-od-1-1",16.5034631593613,179.042741187452,"KS8-od1-1"
"KS8-od-1-2",16.4282118088063,179.042741187457,"KS8-od1-2"
"KS8-od-1-3",16.1901841603334,179.042741187448,"KS8-od1-3"
"KS8-od-2-1",16.0643331697866,179.042741187448,"KS8-od2-1"
"KS8-od-2-2",16.1615264149624,179.042741187448,"KS8-od2-2"
"KS8-od-2-3",16.2363736312716,179.04274118745,"KS8-od2-3"
"EHC-od-1-1",17.2658645773448,179.042741187449,"EHC-od1-1"
"EHC-od-1-2",17.3698104209356,179.042741187457,"EHC-od1-2"
"EHC-od-1-3",17.0521604111717,179.042741187455,"EHC-od1-3"
"EHC-od-2-1",15.0623792831884,179.042741187461,"EHC-od2-1"
"EHC-od-2-2",15.0726242889995,179.042741187445,"EHC-od2-2"
"EHC-od-2-3",7.1213792219611,179.042741187452,"EHC-od2-3"
"EHC-1-1",15.1564307335804,179.042741187459,"EHC-1-1"
"EHC-1-2",13.1072403422468,179.042741187448,"EHC-1-2"
"EHC-1-3",13.5541242322744,179.042741187448,"EHC-1-3"
"EHC-2-1",12.5290666849059,179.042741187452,"EHC-2-1"
"EHC-2-2",12.0119800749364,179.042741187452,"EHC-2-2"
"EHC-2-3",12.4710681358138,179.042741187456,"EHC-2-3"
"KS8-10-1-1",12.719704103543,179.042741187447,"KS8-10-1-1"
"KS8-10-1-2",11.74914024531,179.042741187454,"KS8-10-1-2"
"KS8-10-1-3",12.914328679725,179.042741187453,"KS8-10-1-3"
"KS8-10-2-1",10.661948223264,179.042741187453,"KS8-10-2-1"
"KS8-10-2-2",12.1609795569626,179.042741187452,"KS8-10-2-2"
"KS8-10-2-3",13.9613473215415,179.04274118745,"KS8-10-2-3"
"KS8-100-1-1",17.0377567298277,179.042741187454,"KS8-100-1-1"
"KS8-100-1-2",16.027986366231,179.042741187451,"KS8-100-1-2"
"KS8-100-1-3",15.7079440198716,179.042741187454,"KS8-100-1-3"
"KS8-100-2-1",12.6573418083534,179.042741187451,"KS8-100-2-1"
"KS8-100-2-2",12.4090285222304,179.042741187449,"KS8-100-2-2"
"KS8-100-2-3",13.5706452995393,179.042741187454,"KS8-100-2-3"
"KS3-10-1-1",11.0177927950566,179.04274118745,"KS3-10-1-1"
"KS3-10-1-2",10.8598897016035,179.042741187454,"KS3-10-1-2"
"KS3-10-1-3",10.4998140386133,179.042741187452,"KS3-10-1-3"
"KS3-10-2-1",9.48736003107129,179.042741187452,"KS3-10-2-1"
"KS3-10-2-2",10.1331957488229,179.042741187452,"KS3-10-2-2"
"KS3-10-2-3",13.0507440455516,179.042741187453,"KS3-10-2-3"
"KS3-100-1-1",17.4796715513124,179.042741187456,"KS3-100-1-1"
"KS3-100-1-2",16.7415419366536,179.042741187455,"KS3-100-1-2"
"KS3-100-1-3",16.6229360233427,179.042741187453,"KS3-100-1-3"
"KS3-100-2-1",13.4554910546743,179.042741187454,"KS3-100-2-1"
"KS3-100-2-2",13.4612668945578,179.042741187447,"KS3-100-2-2"
"KS3-100-2-3",13.4006538994706,179.042741187457,"KS3-100-2-3"
"KS3-KS8-1-1",16.223921963463,179.042741187446,"KS3-KS8-1-1"
"KS3-KS8-1-2",16.6527821271749,179.042741187455,"KS3-KS8-1-2"
"KS3-KS8-1-3",16.604054113524,179.042741187448,"KS3-KS8-1-3"
"KS3-KS8-2-1",13.6933416401841,179.042741187452,"KS3-KS8-2-1"
"KS3-KS8-2-2",15.0104154757338,179.042741187456,"KS3-KS8-2-2"
"KS3-KS8-2-3",15.4096076122759,179.042741187452,"KS3-KS8-2-3"
"NC-samp-1-1",27.9690521262521,179.042741187456,"NC-samp1-1"
"NC-samp-1-2",26.7311875781537,179.042741187454,"NC-samp1-2"
"NC-samp-1-3",27.0161143681111,179.042741187457,"NC-samp1-3"
"NC-samp-2-1",32.7598312798374,179.042741187453,"NC-samp2-1"
"NC-samp-2-2",32.5636661046201,179.042741187456,"NC-samp2-2"
"NC-samp-2-3",32.0764345792782,179.042741187452,"NC-samp2-3"
"NC-1-1",35.2540850292822,179.042741187444,"NC-1-1"
"NC-1-2",35.6857100774978,179.042741187454,"NC-1-2"
"NC-1-3",33.830639245146,179.042741187453,"NC-1-3"
"NC-2-1",35.0834353772053,179.042741187447,"NC-2-1"
"NC-2-2",36.8358722243552,179.04274118745,"NC-2-2"
"NC-2-3",35.7914689777882,179.042741187456,"NC-2-3"
