query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxa
KS-01	99.773	440	1	0	306	745	1	440	0.0	808	ASV31-Sphingobium czechense
KS-01	99.545	440	2	0	306	745	1	440	0.0	802	ASV43-Sphingobium czechense
KS-01	99.545	440	2	0	306	745	1	440	0.0	802	ASV25-Sphingobium czechense
KS-01	99.545	440	2	0	306	745	1	440	0.0	802	ASV19-Sphingobium czechense
KS-01	99.545	440	2	0	306	745	1	440	0.0	802	ASV15-Sphingobium czechense
KS-02	99.773	440	1	0	304	743	1	440	0.0	808	ASV31-Sphingobium czechense
KS-02	99.545	440	2	0	304	743	1	440	0.0	802	ASV43-Sphingobium czechense
KS-02	99.545	440	2	0	304	743	1	440	0.0	802	ASV25-Sphingobium czechense
KS-02	99.545	440	2	0	304	743	1	440	0.0	802	ASV19-Sphingobium czechense
KS-02	99.545	440	2	0	304	743	1	440	0.0	802	ASV15-Sphingobium czechense
KS-03	99.785	465	1	0	332	796	1	465	0.0	854	ASV421-Cupriavidus metallidurans
KS-03	99.57	465	2	0	332	796	1	465	0.0	848	ASV526-Cupriavidus metallidurans
KS-03	99.57	465	2	0	332	796	1	465	0.0	848	ASV491-Cupriavidus metallidurans
KS-03	99.57	465	2	0	332	796	1	465	0.0	848	ASV468-Cupriavidus plantarum
KS-03	99.57	465	2	0	332	796	1	465	0.0	848	ASV343-Cupriavidus metallidurans
KS-04	94.331	441	25	0	305	745	2	442	0.0	676	ASV1405-Bosea vaviloviae
KS-04	94.318	440	25	0	305	744	2	441	0.0	675	ASV1508-Bosea vaviloviae
KS-04	94.318	440	25	0	305	744	2	441	0.0	675	ASV1349-Bosea vaviloviae
KS-04	94.318	440	25	0	305	744	1	440	0.0	675	ASV1179-Bosea vaviloviae
KS-04	94.318	440	25	0	305	744	1	440	0.0	675	ASV1123-Bosea vaviloviae
KS-05	99.785	465	1	0	326	790	1	465	0.0	854	ASV421-Cupriavidus metallidurans
KS-05	99.57	465	2	0	326	790	1	465	0.0	848	ASV526-Cupriavidus metallidurans
KS-05	99.57	465	2	0	326	790	1	465	0.0	848	ASV491-Cupriavidus metallidurans
KS-05	99.57	465	2	0	326	790	1	465	0.0	848	ASV468-Cupriavidus plantarum
KS-05	99.57	465	2	0	326	790	1	465	0.0	848	ASV343-Cupriavidus metallidurans
KS-06	99.14	465	4	0	331	795	1	465	0.0	837	ASV1700-Achromobacter deleyi
KS-06	98.501	467	7	0	329	795	3	469	0.0	824	ASV1670-Achromobacter xylosoxidans
KS-06	98.28	465	8	0	331	795	1	465	0.0	815	ASV1754-Achromobacter mucicolens
KS-06	90.578	467	40	4	331	795	1	465	3.87e-177	616	ASV494-Herbaspirillum seropedicae
KS-06	90.364	467	41	4	331	795	1	465	1.8e-175	610	ASV577-Herbaspirillum seropedicae
KS-07	99.773	440	1	0	302	741	1	440	0.0	808	ASV31-Sphingobium czechense
KS-07	99.545	440	2	0	302	741	1	440	0.0	802	ASV43-Sphingobium czechense
KS-07	99.545	440	2	0	302	741	1	440	0.0	802	ASV25-Sphingobium czechense
KS-07	99.545	440	2	0	302	741	1	440	0.0	802	ASV19-Sphingobium czechense
KS-07	99.545	440	2	0	302	741	1	440	0.0	802	ASV15-Sphingobium czechense
KS-08	99.773	440	1	0	299	738	1	440	0.0	808	ASV31-Sphingobium czechense
KS-08	99.545	440	2	0	299	738	1	440	0.0	802	ASV43-Sphingobium czechense
KS-08	99.545	440	2	0	299	738	1	440	0.0	802	ASV25-Sphingobium czechense
KS-08	99.545	440	2	0	299	738	1	440	0.0	802	ASV19-Sphingobium czechense
KS-08	99.545	440	2	0	299	738	1	440	0.0	802	ASV15-Sphingobium czechense
KS-09	94.331	441	25	0	302	742	2	442	0.0	676	ASV1405-Bosea vaviloviae
KS-09	94.318	440	25	0	302	741	2	441	0.0	675	ASV1508-Bosea vaviloviae
KS-09	94.318	440	25	0	302	741	2	441	0.0	675	ASV1349-Bosea vaviloviae
KS-09	94.318	440	25	0	302	741	1	440	0.0	675	ASV1179-Bosea vaviloviae
KS-09	94.318	440	25	0	302	741	1	440	0.0	675	ASV1123-Bosea vaviloviae
KS-10	95.279	466	22	0	337	802	1	466	0.0	739	ASV1130-Pseudoxanthomonas indica
KS-10	95.064	466	23	0	336	801	5	470	0.0	734	ASV1395-Pseudoxanthomonas indica
KS-10	95.054	465	23	0	337	801	2	466	0.0	732	ASV1459-Pseudoxanthomonas indica
KS-10	95.054	465	23	0	337	801	1	465	0.0	732	ASV1446-Pseudoxanthomonas indica
KS-10	94.85	466	24	0	336	801	1	466	0.0	728	ASV1351-Pseudoxanthomonas indica
KS-11	99.143	467	4	0	324	790	3	469	0.0	841	ASV1670-Achromobacter xylosoxidans
KS-11	98.495	465	7	0	326	790	1	465	0.0	821	ASV1700-Achromobacter deleyi
KS-11	98.065	465	9	0	326	790	1	465	0.0	809	ASV1754-Achromobacter mucicolens
KS-11	90.343	466	43	2	326	790	1	465	1.69e-175	610	ASV494-Herbaspirillum seropedicae
KS-11	90.15	467	42	4	326	790	1	465	7.86e-174	604	ASV630-Herminiimonas contaminans
KS-20	99.773	440	1	0	303	742	1	440	0.0	808	ASV31-Sphingobium czechense
KS-20	99.545	440	2	0	303	742	1	440	0.0	802	ASV43-Sphingobium czechense
KS-20	99.545	440	2	0	303	742	1	440	0.0	802	ASV25-Sphingobium czechense
KS-20	99.545	440	2	0	303	742	1	440	0.0	802	ASV19-Sphingobium czechense
KS-20	99.545	440	2	0	303	742	1	440	0.0	802	ASV15-Sphingobium czechense
KS-21	97.5	440	11	0	301	740	1	440	0.0	752	ASV748-Ensifer adhaerens
KS-21	97.273	440	12	0	301	740	1	440	0.0	747	ASV943-Ensifer adhaerens
KS-21	97.273	440	12	0	301	740	1	440	0.0	747	ASV819-Ensifer adhaerens
KS-21	97.052	441	13	0	300	740	1	441	0.0	743	ASV871-Ensifer adhaerens
KS-21	97.045	440	13	0	301	740	1	440	0.0	741	ASV803-Ensifer adhaerens
KS-22	98.293	410	7	0	330	739	1	410	0.0	728	ASV526-Cupriavidus metallidurans
KS-22	98.293	410	7	0	330	739	1	410	0.0	728	ASV491-Cupriavidus metallidurans
KS-22	98.293	410	7	0	330	739	1	410	0.0	728	ASV421-Cupriavidus metallidurans
KS-22	98.293	410	7	0	330	739	1	410	0.0	728	ASV384-Cupriavidus metallidurans
KS-22	98.293	410	7	0	330	739	1	410	0.0	728	ASV343-Cupriavidus metallidurans
KS-23	94.331	441	25	0	304	744	2	442	0.0	676	ASV1405-Bosea vaviloviae
KS-23	94.318	440	25	0	304	743	2	441	0.0	675	ASV1508-Bosea vaviloviae
KS-23	94.318	440	25	0	304	743	2	441	0.0	675	ASV1349-Bosea vaviloviae
KS-23	94.318	440	25	0	304	743	1	440	0.0	675	ASV1179-Bosea vaviloviae
