query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxa
ASV1	99.14	465	4	0	1	465	306	770	0.0	837.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,s:Acidovorax delafieldii
ASV1	98.71	465	6	0	1	465	306	770	0.0	826.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,s:NOIG_s
ASV1	98.71	465	6	0	1	465	306	770	0.0	826.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,s:CP021366_s
ASV10	99.14	465	4	0	1	465	320	784	0.0	837.0	tax=d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus cucumis
ASV10	99.14	465	4	0	1	465	320	784	0.0	837.0	tax=d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus novalis
ASV10	99.14	465	4	0	1	465	320	784	0.0	837.0	tax=d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus soli
ASV100	99.348	460	3	0	1	460	311	770	0.0	833.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:FN428761_g,s:FN428761_s
ASV100	96.957	460	14	0	1	460	313	772	0.0	773.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:JQ919777_g,s:JQ919777_s
ASV100	96.957	460	14	0	1	460	293	752	0.0	773.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:FN428761_g,s:JF266473_s
ASV1000	98.913	460	5	0	1	460	306	765	0.0	822.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Pedobacter koreensis
ASV1000	98.478	460	7	0	1	460	309	768	0.0	811.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:LLWP_s
ASV1000	98.478	460	7	0	1	460	286	745	0.0	811.0	tax=d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Pedobacter lotistagni
ASV1001	99.101	445	4	0	1	445	308	752	0.0	800.0	tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria_c,o:Micrococcales,f:Micrococcaceae,g:Pseudarthrobacter,s:Pseudarthrobacter equi
ASV1001	99.101	445	4	0	1	445	310	754	0.0	800.0	tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria_c,o:Micrococcales,f:Micrococcaceae,g:Pseudarthrobacter,s:Arthrobacter ginsengisoli
ASV1001	99.101	445	4	0	1	445	281	725	0.0	800.0	tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria_c,o:Micrococcales,f:Micrococcaceae,g:Arthrobacter,s:Arthrobacter enclensis
ASV1002	96.774	465	15	0	1	465	282	746	0.0	776.0	tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Lysobacter,s:Lysobacter korlensis
ASV1002	96.344	465	17	0	1	465	308	772	0.0	765.0	tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Lysobacter,s:Lysobacter mobilis
