query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxa
KS-01-1	98.169	1311	18	6	25	1329	1	1311	0.0	2289.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-01-2	98.364	1284	19	2	22	1303	1	1284	0.0	2261.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-02-1	98.197	1276	20	3	23	1295	1	1276	0.0	2235.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-02-2	81.377	886	148	15	20	896	1	878	0.0	802.0	tax=d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Staphylococcaceae,g:Staphylococcus,s:Staphylococcus warneri
KS-03-1	98.538	1300	17	2	25	1322	1	1300	0.0	2311.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Ralstonia_f,g:Cupriavidus,s:Cupriavidus plantarum
KS-04-1	99.451	1275	4	3	23	1295	1	1274	0.0	2318.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium oryzae
KS-05-1	98.399	1312	18	3	19	1327	1	1312	0.0	2320.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Ralstonia_f,g:Cupriavidus,s:Cupriavidus plantarum
KS-05-2	98.771	1302	15	1	24	1324	1	1302	0.0	2326.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Ralstonia_f,g:Cupriavidus,s:Cupriavidus plantarum
KS-06-1	99.236	1309	7	3	24	1329	1	1309	0.0	2370.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Achromobacter,s:Achromobacter insolitus
KS-06-2	99.153	1298	5	6	19	1310	1	1298	0.0	2338.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Achromobacter,s:Achromobacter insolitus
KS-07-1	98.226	1240	20	2	21	1258	1	1240	0.0	2176.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-07-2	98.514	1279	18	1	21	1298	1	1279	0.0	2259.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-08-1	97.942	1312	23	4	18	1325	1	1312	0.0	2285.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-08-2	97.635	1311	24	7	22	1325	1	1311	0.0	2259.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
KS-09-1	98.852	1307	9	6	21	1321	1	1307	0.0	2337.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium oryzae
KS-09-2	98.55	1310	13	6	23	1326	1	1310	0.0	2327.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium oryzae
KS-10-1	98.826	1363	8	8	24	1378	1	1363	0.0	2433.0	tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,s:MUYX_s
KS-10-2	98.678	1286	11	6	9	1288	1	1286	0.0	2290.0	tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,s:MUYX_s
KS-11-1	99.312	1309	7	2	19	1325	1	1309	0.0	2375.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Achromobacter,s:Achromobacter xylosoxidans
KS-11-2	99.39	1311	4	4	11	1317	1	1311	0.0	2377.0	tax=d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Achromobacter,s:Achromobacter xylosoxidans
Kasper_KS-20-1	97.958	1273	22	4	22	1290	1	1273	0.0	2217.0	tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium paulinellae
