query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	taxa
KS-01	100.0	1329	0	0	1	1329	1	1329	0.0	2429	KS-01-1
KS-02	100.0	1280	0	0	16	1295	16	1295	0.0	2346	KS-02-1
KS-03	100.0	1322	0	0	1	1322	1	1322	0.0	2405	KS-03-1
KS-04	100.0	1292	0	0	4	1295	4	1295	0.0	2368	KS-04-1
KS-05	100.0	1396	0	0	13	1408	13	1408	0.0	2457	KS-05-1
KS-06	100.0	1362	0	0	1	1362	1	1362	0.0	2449	KS-06-1
KS-07	100.0	1247	0	0	12	1258	12	1258	0.0	2285	KS-07-1
KS-08	100.0	1323	0	0	12	1334	12	1334	0.0	2407	KS-08-1
KS-09	100.0	1307	0	0	15	1321	15	1321	0.0	2392	KS-09-1
KS-10	100.0	1378	0	0	1	1378	1	1378	0.0	2516	KS-10-1
KS-11	100.0	1324	0	0	6	1329	6	1329	0.0	2420	KS-11-1
KS-20	100.0	1290	0	0	3	1292	3	1292	0.0	2342	KS-20-1
KS-21	100.0	1311	0	0	16	1326	16	1326	0.0	2333	KS-21-1
KS-22	100.0	739	0	0	1	739	1	739	0.0	1347	KS-22-1
KS-23	100.0	1306	0	0	17	1322	17	1322	0.0	2390	KS-23-2
KS-24	100.0	1334	0	0	1	1334	1	1334	0.0	2416	KS-24-1
KS-25	100.0	1250	0	0	12	1261	12	1261	0.0	2279	KS-25-1
KS-26	100.0	1324	0	0	1	1324	1	1324	0.0	2409	KS-26-1
KS-27	100.0	1283	0	0	4	1286	4	1286	0.0	2303	KS-27-1
KS-29	100.0	1277	0	0	14	1290	14	1290	0.0	2326	KS-29-1
KS-30	100.0	1293	0	0	14	1306	14	1306	0.0	2366	KS-30-1
KS-32	100.0	1313	0	0	5	1317	5	1317	0.0	2422	KS-32-1
KS-33	100.0	1324	0	0	4	1327	4	1327	0.0	2409	KS-33-1
KS-34	100.0	1343	0	0	1	1343	1	1343	0.0	2462	KS-34-1
KS-35	100.0	1275	0	0	14	1288	14	1288	0.0	2333	KS-35-1
KS-36	100.0	1301	0	0	14	1314	14	1314	0.0	2392	KS-36-1
